gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
122994964	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/47376.jpg	NA	Raphanus raphanistrum - United States of America, Florida (BARCODE: 47376) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
122994969	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/48399.jpg	NA	Raphanus raphanistrum - United States of America, Florida (BARCODE: 48399) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
122995012	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/49464.jpg	NA	Raphanus raphanistrum - United States of America, Florida (BARCODE: 49464) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
122995022	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/50650.jpg	NA	Raphanus raphanistrum - United States of America, Florida (BARCODE: 50650) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
122995074	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/53095.jpg	NA	Raphanus raphanistrum - United States of America, Florida (BARCODE: 53095) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
122995160	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/65375.jpg	NA	Raphanus raphanistrum - United States of America, Florida (BARCODE: 65375) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
122995197	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/7164.jpg	NA	Raphanus sativus - United States of America (BARCODE: 7164) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
122995252	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/80703.jpg	NA	Raphanus raphanistrum - United States of America, Florida (BARCODE: 80703) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
122995253	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/80849.jpg	NA	Raphanus sativus - United States of America, Florida (BARCODE: 80849) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
122995905	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/FTG/93770.jpg	NA	Raphanus sativus - United States of America, Florida (BARCODE: 93770) - FTG Herbarium	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	Fairchild Tropical Botanical Garden Herbarium (FTG)
894984579	StillImage	image/jpeg	https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/12150/default.jpg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
894984604	StillImage	image/jpeg	https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/12151/default.jpg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
894984655	StillImage	image/jpeg	https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/12153/default.jpg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1038918099	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:779115b9-04a4-46ec-bf5d-a9f9f42a1a67/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057324). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038929120	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:ae2ff8fb-4174-49b6-a633-4f27b2ffc6d2/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024814). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038930808	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:f5e0ebd8-cbf6-4a0c-8b7c-c15a7bfe2019/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024822). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038931688	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:df583e2a-16cb-4925-9697-91ea65868552/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024815). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038933176	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:8e6ea5c6-c0e0-43db-bf84-94fe6f054779/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024823). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038933423	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:2011268d-7c64-40c4-83fe-02a6d0852727/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024818). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038936885	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:aa51c11b-0e62-4568-bfd8-55b46d12ef10/full/!1920,1920/0/default.jpg	NA	Raphanus sativus (CBS.024828). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038937998	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:33392e73-9ff3-4611-9b5f-9a309bea63cb/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057320). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038941330	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:58780432-0d49-4589-a124-201e0d2dc2af/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.033467). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2011	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038957958	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:2e56bc0e-86e3-4d67-b16f-86ed5a2809b7/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057327). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038958768	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:75b59bff-daa9-41f3-be3d-aa18bcfa2719/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057323). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038959929	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:1c6c0618-548f-4e03-aee7-a7ddabf40c13/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024819). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038964643	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:b336d37d-7e50-45ec-b377-66d965012252/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057326). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038968471	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:eef83ffc-a52c-46c8-bb7e-a1f908638a07/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024827). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038968555	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:3a6f557a-c4d2-42b2-b9e6-0e0ec094dbb3/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024816). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038977610	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:ea486235-c3da-40e6-ba0b-42a5680fdec0/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024821). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038978550	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:7e73459f-6147-46b9-b25e-acd1537c5a1e/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057322). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038978703	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:559e48b7-0600-4b19-91c1-0af873ef1d1d/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024825). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038985991	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:432ffa4b-dd0c-4d42-bb1b-1510249d1696/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057329). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038986945	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:c7b4baa2-0dbc-4f58-be4f-dfbc0c4810fc/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057325). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038995347	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:1fe7b8c1-170e-4fca-a664-914ebc8f40b0/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057318). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1038997332	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:0bfcc096-2e6b-43ef-9a07-185145a1605f/full/!1920,1920/0/default.jpg	NA	Raphanus sativus (CBS.024829). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1039012435	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:21a755d2-76bb-4582-bed1-eacd7dc3f896/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057319). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1039013244	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:94d83e88-2da3-4c35-963f-1cb6d9201eae/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024826). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1039016492	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:17d2e6ca-2506-429d-8337-f3b2247aad3b/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057321). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1039019418	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:7fdb4507-76b1-481d-a9a5-4011b8ee3f95/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.033460). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2011	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1039019594	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:34f624c8-07f9-442c-8f4e-e71eac4ae257/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024817). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1039020261	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:e9daa429-1f3c-419b-9771-621e1f154b29/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (CBS.024813). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1039021048	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:909e1ae3-af5b-4d0d-bb1c-c323741cdb00/full/!1920,1920/0/default.jpg	NA	Raphanus sativus (YU.057330). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1039021286	StillImage	image/jpeg	https://images.collections.yale.edu/iiif/2/ypm:119aff93-e405-4a7f-bddd-b89f9b290e0f/full/!1920,1920/0/default.jpg	NA	Raphanus raphanistrum (YU.057328). Digital Image: Yale Peabody Museum; photo by Division of Botany, Yale Peabody Museum 2010	NA	NA	NA	NA	Division of Botany, Yale Peabody Museum	NA	NA	http://creativecommons.org/publicdomain/zero/1.0/	NA
1086616831	NA	NA	NA	https://images.cria.org.br/viewer/UPCB0082105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1269669296	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046169_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671041	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046224_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671048	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046223_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671055	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046221_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671056	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046227_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671059	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046225_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671061	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046222_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671063	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046231_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671071	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046228_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671072	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046235_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671074	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046234_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671076	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046226_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671078	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046229_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671086	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046232_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671087	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046236_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671088	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046230_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269671098	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/046/LSU00046233_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269676388	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/053/LSU00053541_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269678712	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/055/LSU00055819_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269680097	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/056/LSU00056917_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269680109	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/056/LSU00056916_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269680118	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/056/LSU00056915_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269680439	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/057/LSU00057264_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269705324	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/084/LSU00084640_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269705327	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/084/LSU00084639_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269705339	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/084/LSU00084641_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269705347	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/084/LSU00084636_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269705358	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/084/LSU00084637_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269705365	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/084/LSU00084635_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269705374	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/084/LSU00084642_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269705380	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/084/LSU00084638_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1269713317	StillImage	image/jpeg	https://cyberfloralouisiana.com/images/LSUCollections/Vascular/LSU/00/097/LSU00097330_L.JPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://creativecommons.org/licenses/by-nc/3.0/	Louisiana State University, Shirley C. Tucker Herbarium (LSU-Vascular Plants)
1317435485	StillImage	image/jpeg	https://collections.nmnh.si.edu/media/?i=14069336&h=2000	NA	00413105.tif	Barcode 00413105	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution	NA	NA	Conveyor Belt	NA	Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	NA
1317467273	StillImage	image/jpeg	https://collections.nmnh.si.edu/media/?i=14066118&h=2000	NA	00228492.tif	Barcode 00228492	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution	NA	NA	Conveyor Belt	NA	Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	NA
1318609082	StillImage	image/jpeg	https://collections.nmnh.si.edu/media/?i=14066237&h=2000	NA	00379624.tif	Barcode 00379624	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution	NA	NA	Conveyor Belt	NA	Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	NA
1319030771	StillImage	image/jpeg	https://collections.nmnh.si.edu/media/?i=14072515&h=2000	NA	00228493.tif	Barcode 00228493	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution	NA	NA	Conveyor Belt	NA	Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	NA
